Cod_Estab,measure_L,measure_M
20-09-0393-43,0.534,0.79
20-09-0393-43,1.746,0.261
20-09-0399-43,1.454,1.342
20-09-0399-43,0.191,0.128
20-09-0393-43,-0.042,0.046
20-09-0385-43,2.509,0.134
20-09-0393-43,1.542,0.907
20-09-0385-43,2.283,0.925
20-09-0399-43,0.075,0.515
20-09-0393-43,0.488,1.062
20-09-0393-43,0.649,-0.226
20-09-0399-43,0.83,-0.154
20-09-0385-43,0.885,-0.286
20-09-0393-43,1.068,
20-09-0399-43,1.007,-0.226
20-09-0399-43,-0.991,0.12
20-09-0399-43,-0.042,0.046
20-09-0385-43,1.542,1.322
20-09-0393-43,0.305,0.633
20-09-0393-43,0.885,-0.581
20-09-0399-43,-0.752,-0.369
20-09-0399-43,1.068,0.525
20-09-0385-43,0.147,0.56
20-09-0399-43,-0.209,-0.138
20-09-0393-43,1.068,0.645
20-09-0393-43,1.007,1.041
20-09-0399-43,0.147,-1.117
20-09-0393-43,3.52,0.787
20-09-0393-43,0.948,0.787
20-09-0399-43,0.031,-0.912
20-09-0399-43,2.038,0.921
20-09-0393-43,1.32,0.763
20-09-0393-43,4.291,0.816
20-09-0393-43,0.83,0.177
20-09-0393-43,1.191,0.134
20-09-0399-43,-0.991,-1.176
15-03-0109-43,0.147,0.633
15-03-0109-43,0.075,1.062
15-03-0021-43,-0.911,-0.581
15-03-0127-43,-0.042,-0.146
15-03-0021-43,-1.165,-0.45
15-03-0127-43,-0.209,-0.088
15-03-0127-43,0.075,-0.43
15-03-0127-43,0.375,0.12
15-03-0021-43,-0.087,-0.436
15-03-0021-43,0.191,0.122
15-03-0021-43,0.031,0.0
15-03-0127-43,-0.162,-0.847
15-03-0127-43,-0.605,-0.138
15-03-0021-43,-3.245,-3.226
15-03-0109-43,0.191,-0.014
15-03-0127-43,0.031,-0.286
15-03-0127-43,0.885,1.057
15-03-0021-43,0.147,-0.519
15-03-0127-43,0.715,-0.426
15-03-0127-43,0.305,-0.014
15-03-0127-43,1.191,0.525
15-03-0109-43,-0.605,-0.59
15-03-0127-43,0.948,-0.014
15-03-0127-43,0.147,0.128
15-03-0127-43,-0.545,-0.299
15-03-0021-43,-0.832,-0.847
15-03-0021-43,-0.209,0.134
15-03-0021-43,-0.162,-1.109
15-03-0021-43,0.191,0.249
15-03-0021-43,-0.335,0.261
15-03-0127-43,-0.042,-0.369
15-03-0109-43,1.191,0.396
15-03-0109-43,0.075,0.046
15-03-0021-43,-0.684,0.394
16-17-0119-43,-0.752,-3.264
16-17-0036-43,-0.605,-1.32
16-17-0119-43,-0.335,-0.754
16-17-0036-43,-0.285,-2.024
16-17-0119-43,,0.134
16-17-0114-43,0.031,0.505
16-17-0119-43,0.715,0.645
16-17-0036-43,-0.911,0.128
16-17-0036-43,-0.605,-1.737
16-17-0036-43,-0.087,-0.226
16-17-0036-43,-0.162,0.046
16-17-0114-43,-0.605,-0.58
16-17-0036-43,-0.335,0.633
16-17-0119-43,-0.335,0.128
16-17-0119-43,0.031,-0.743
16-17-0036-43,-1.084,-1.41
16-17-0119-43,0.262,-0.279
16-17-0119-43,-0.285,-0.783
16-17-0036-43,-0.832,0.249
16-17-0114-43,-0.684,-0.088
16-17-0036-43,-0.991,0.12
16-17-0119-43,0.262,0.046
16-17-0036-43,-0.209,-0.928
16-17-0119-43,-1.359,-0.743
16-17-0036-43,-0.752,-0.146
16-17-0114-43,0.766,-0.146
16-17-0036-43,-0.545,-1.842
16-17-0036-43,-1.579,-3.376
16-17-0036-43,-1.359,-0.279
16-17-0119-43,0.191,-0.581
16-17-0119-43,-0.162,-0.581
16-17-0114-43,-0.412,-1.41
16-17-0119-43,-0.684,-0.299
16-17-0036-43,-0.684,-1.325
16-17-0036-43,-0.162,0.688
16-17-0036-43,-0.087,0.505
16-17-0036-43,-0.162,-0.45
16-17-0036-43,0.262,0.122
16-17-0119-43,-0.335,0.79
16-17-0036-43,-0.911,-1.32
16-17-0114-43,-0.911,-1.176
16-17-0119-43,0.191,-0.288
16-17-0119-43,-0.162,-0.014
16-17-0119-43,1.454,0.12
16-17-0119-43,0.766,0.305
16-17-0036-43,-1.359,0.122
16-17-0119-43,-0.412,-0.847
11-01-0043-43,-0.209,0.947
11-01-0009-43,0.147,0.305
11-01-0009-43,0.191,0.56
11-01-0009-43,1.007,0.505
11-01-0009-43,1.595,1.361
11-01-0043-43,-0.412,0.56
11-01-0043-43,1.542,-0.012
11-01-0009-43,1.542,0.775
11-01-0009-43,1.908,1.322
11-01-0009-43,0.766,0.921
11-01-0009-43,1.746,1.613
11-01-0043-43,-0.162,0.656
11-01-0009-43,0.191,0.0
11-01-0043-43,0.031,-0.611
11-01-0059-43,-0.087,-0.519
11-01-0009-43,2.509,1.837
11-01-0059-43,1.132,-0.519
11-01-0043-43,0.075,-0.288
11-01-0043-43,1.132,0.525
11-01-0043-43,-1.496,-3.342
11-01-0009-43,0.766,0.394
11-01-0043-43,2.509,1.204
11-01-0059-43,1.191,0.526
11-01-0009-43,-0.162,0.12
11-01-0043-43,1.398,0.134
11-01-0059-43,0.075,-0.969
11-01-0059-43,1.191,0.261
11-01-0059-43,0.191,-0.012
11-01-0043-43,0.075,0.633
11-01-0009-43,0.075,0.385
11-01-0043-43,0.649,-0.088
11-01-0009-43,0.375,0.525
11-01-0009-43,0.488,0.787
11-01-0043-43,1.454,0.79
11-01-0009-43,0.262,1.322
11-01-0009-43,1.262,0.688
11-01-0043-43,0.031,0.265
11-01-0043-43,-0.335,0.0
11-01-0009-43,1.746,1.342
11-01-0009-43,-0.087,-0.007
11-01-0009-43,0.715,0.763
11-01-0043-43,0.766,0.254
11-01-0043-43,1.694,1.456
11-01-0009-43,1.132,1.503
11-01-0043-43,1.32,0.12
11-01-0043-43,-0.412,0.122
11-01-0043-43,0.375,-0.088
11-01-0059-43,0.766,0.396
11-01-0043-43,1.191,0.816
11-01-0043-43,0.948,0.921
11-01-0043-43,0.147,-0.59
11-01-0009-43,1.542,1.655
11-01-0043-43,2.509,0.254
11-01-0043-43,0.305,0.249
11-01-0043-43,0.715,0.265
11-01-0043-43,0.305,0.907
11-01-0043-43,0.766,-0.146
11-01-0043-43,0.42,0.046
11-01-0043-43,1.908,0.775
12-28-1011-43,-0.752,-4.465
12-28-1011-43,-0.605,-1.098
12-28-1014-43,0.885,-0.58
12-28-1014-43,0.262,0.645
12-28-1014-43,0.262,-0.012
12-28-1009-43,0.42,-0.58
12-28-1014-43,0.649,-1.303
12-28-1014-43,0.885,0.396
12-28-1011-43,-0.752,-4.579
12-28-1014-43,0.031,-0.743
12-28-1014-43,-0.335,-0.45
12-28-1014-43,0.031,-0.741
12-28-1009-43,-0.087,-0.783
12-28-1009-43,0.766,0.394
12-28-1009-43,-0.087,0.394
12-28-1014-43,-0.087,0.177
12-28-1009-43,-0.162,0.134
12-28-1009-43,0.715,0.925
12-28-1014-43,1.32,-0.59
12-28-1009-43,0.649,0.177
12-28-1011-43,-0.605,-0.969
12-28-1011-43,-0.162,0.134
12-28-1014-43,-0.545,-0.928
12-28-1011-43,0.305,-1.685
12-28-1009-43,1.398,1.218
12-28-1014-43,0.262,0.305
12-28-1009-43,-0.285,-0.754
12-28-1011-43,-0.042,-1.32
12-28-1014-43,-0.042,0.261
12-28-1009-43,1.007,1.081
12-28-1009-43,-0.335,0.177
12-28-1011-43,0.075,-0.436
12-28-1011-43,-1.359,-1.685
12-28-1011-43,-0.605,-0.754
12-28-1014-43,-0.087,0.0
12-28-1009-43,-0.087,-0.012
12-28-1009-43,1.595,1.218
12-28-1011-43,-0.042,-0.147
12-28-1009-43,1.542,0.763
12-28-1009-43,2.509,1.613
12-28-1014-43,-1.496,-1.836
12-28-1014-43,-0.162,-0.299
12-28-1011-43,-0.412,-1.031
12-28-1011-43,-0.911,-0.519
12-28-1009-43,2.038,-0.014
12-28-1014-43,-0.911,-1.836
12-28-1009-43,1.007,0.657
12-28-1009-43,2.466,1.057
12-28-1011-43,-0.042,-0.226
12-28-1011-43,-0.412,-2.176
12-28-1009-43,1.595,1.179
12-28-1011-43,0.488,0.261
12-28-1009-43,-0.087,0.394
12-28-1011-43,-0.467,-0.436
12-28-1011-43,0.375,-0.426
12-28-1011-43,0.191,-2.601
12-28-1014-43,0.534,0.122
12-28-1014-43,0.534,-1.098
12-28-1009-43,2.085,1.057
12-28-1009-43,0.948,0.385
12-28-1009-43,0.766,0.254
12-28-1009-43,1.908,0.947
12-28-1011-43,-0.467,0.12
12-28-1009-43,1.191,0.633
12-28-1009-43,1.068,1.342
12-28-1011-43,-1.084,-0.918
12-28-1009-43,1.32,0.787
12-28-1009-43,-0.042,0.385
12-28-1014-43,-0.285,-0.369
12-28-1011-43,0.031,-1.031
12-28-1011-43,-4.558,-0.783
12-28-1011-43,0.305,-2.176
12-28-1011-43,0.42,0.046
12-28-1011-43,1.746,0.526
12-28-1014-43,-0.162,-0.226
12-28-1009-43,2.038,1.613
10-20-0413-43,0.488,-0.369
10-20-0413-43,-0.087,-0.426
10-20-0409-43,1.262,-0.088
10-20-0409-43,0.262,-0.928
10-20-0414-43,2.283,0.79
10-20-0414-43,-0.285,-1.685
10-20-0409-43,0.715,-0.138
10-20-0414-43,1.595,0.396
10-20-0409-43,0.262,0.12
10-20-0413-43,-0.042,-0.912
10-20-0409-43,0.147,0.378
10-20-0409-43,0.601,0.79
10-20-0413-43,-0.285,-0.288
10-20-0409-43,-0.832,-0.288
10-20-0413-43,0.375,-1.809
10-20-0414-43,0.147,0.645
10-20-0413-43,0.715,0.128
10-20-0409-43,0.649,0.893
10-20-0414-43,0.075,-0.279
10-20-0413-43,-0.412,-0.43
10-20-0409-43,1.694,-0.147
10-20-0409-43,0.075,-0.611
10-20-0409-43,1.262,1.836
10-20-0409-43,2.238,0.787
10-20-0414-43,0.83,0.261
10-20-0409-43,0.715,1.35
10-20-0413-43,-0.042,-0.58
10-20-0413-43,1.694,0.505
10-20-0413-43,-0.087,-0.45
10-20-0409-43,2.038,0.656
10-20-0414-43,-0.412,-0.288
10-20-0409-43,1.908,1.027
10-20-0409-43,1.859,0.505
10-20-0409-43,0.649,0.385
10-20-0409-43,2.466,-0.154
10-20-0409-43,1.132,1.471
10-20-0409-43,1.595,1.179
10-20-0413-43,-0.545,-0.783
10-20-0413-43,-1.755,-1.737
10-20-0414-43,0.649,0.122
10-20-0409-43,0.42,-0.226
10-20-0413-43,1.542,0.177
10-20-0414-43,-0.335,0.645
10-20-0413-43,-0.209,-0.783
10-20-0413-43,-0.991,-1.325
10-20-0409-43,-0.605,-0.426
10-20-0409-43,-0.335,-0.154
10-20-0409-43,0.191,0.305
10-20-0414-43,-0.162,-0.012
10-20-0409-43,0.715,1.041
10-20-0414-43,0.075,-0.138
10-20-0409-43,-0.467,0.134
10-20-0414-43,-0.162,0.526
10-20-0414-43,0.649,0.305
10-20-0409-43,2.735,1.081
10-20-0409-43,1.191,0.763
10-20-0409-43,2.038,1.503
10-20-0414-43,-1.084,-1.117
10-20-0413-43,0.42,0.645
10-20-0414-43,0.305,-0.783
10-20-0409-43,0.42,0.505
10-20-0414-43,0.031,0.907
10-20-0413-43,-0.752,-0.146
10-20-0409-43,-0.335,0.816
10-20-0414-43,0.534,-0.847
10-20-0413-43,-0.335,-0.426
10-20-0409-43,0.375,-0.743
10-20-0413-43,0.191,0.046
10-20-0409-43,1.32,1.361
10-20-0409-43,1.068,0.254
10-20-0414-43,1.595,0.046
10-20-0414-43,1.262,0.249
10-20-0414-43,0.262,-0.369
10-20-0414-43,-0.684,-0.43
10-20-0409-43,2.466,1.503
10-20-0409-43,-1.084,0.305
10-20-0414-43,1.908,1.027
10-20-0409-43,0.375,-0.088
10-20-0409-43,0.649,0.134
10-20-0414-43,0.948,0.787
10-20-0409-43,0.42,0.396
10-20-0409-43,-0.087,-0.288
10-20-0414-43,0.42,-0.288
10-20-0414-43,-0.605,-0.928
10-20-0413-43,1.132,0.265
19-03-0357-43,1.595,1.35
19-03-0103-43,-0.991,-1.466
19-03-0113-43,-0.209,0.254
19-03-0103-43,-0.087,-0.147
19-03-0113-43,1.908,-0.369
19-03-0113-43,0.031,0.378
19-03-0113-43,1.859,1.081
19-03-0357-43,0.885,0.385
19-03-0113-43,1.542,1.057
19-03-0113-43,-0.467,-0.45
19-03-0357-43,0.075,0.134
19-03-0113-43,-0.412,-0.286
19-03-0113-43,-0.832,-0.43
19-03-0113-43,1.908,0.657
19-03-0103-43,-1.084,-0.014
19-03-0103-43,1.132,-0.45
19-03-0103-43,-0.162,-0.581
19-03-0103-43,0.601,0.0
19-03-0103-43,-0.042,0.394
19-03-0113-43,1.007,0.122
19-03-0113-43,0.649,0.128
19-03-0113-43,-0.285,-0.754
19-03-0357-43,-0.605,0.0
19-03-0357-43,1.694,1.51
19-03-0113-43,0.42,-0.154
19-03-0357-43,1.262,0.122
19-03-0113-43,-0.752,-0.012
19-03-0103-43,0.147,-0.436
19-03-0113-43,-0.087,0.787
19-03-0113-43,1.068,1.51
19-03-0357-43,-0.752,-0.45
19-03-0113-43,0.305,-0.288
19-03-0113-43,1.132,-0.226
19-03-0103-43,-0.087,-0.226
19-03-0113-43,-0.467,-0.743
19-03-0113-43,0.075,0.122
19-03-0113-43,0.601,0.385
19-03-0357-43,-0.335,0.249
19-03-0357-43,1.007,1.35
19-03-0113-43,1.007,1.51
19-03-0113-43,0.715,-0.288
19-03-0357-43,0.715,0.56
19-03-0357-43,0.534,-0.581
19-03-0357-43,1.454,1.837
19-03-0113-43,0.147,0.925
19-03-0113-43,-0.545,0.134
19-03-0103-43,0.534,-0.45
19-03-0113-43,0.948,0.656
19-03-0113-43,0.948,0.378
19-03-0357-43,0.83,0.925
19-03-0357-43,-0.545,0.12
19-03-0103-43,0.649,0.265
14-16-0671-43,-0.752,-0.279
14-16-0671-43,-0.684,-0.677
14-16-0658-43,1.132,1.062
14-16-0658-43,-0.087,0.254
14-16-0658-43,0.191,0.254
14-16-0671-43,-0.545,-1.325
14-16-0664-43,0.715,0.505
14-16-0664-43,0.031,0.134
14-16-0671-43,0.262,0.396
14-16-0671-43,-0.335,-0.581
14-16-0658-43,0.031,-0.014
14-16-0671-43,-0.209,0.261
14-16-0658-43,-0.087,-0.519
14-16-0671-43,0.766,0.177
14-16-0671-43,0.262,0.433
14-16-0671-43,-0.335,-0.288
14-16-0658-43,0.375,1.057
14-16-0658-43,0.42,-0.783
14-16-0658-43,-1.755,-0.012
14-16-0671-43,0.42,-0.45
14-16-0671-43,0.262,-0.611
14-16-0658-43,-0.335,-0.088
14-16-0658-43,1.542,0.656
14-16-0664-43,-0.042,-0.088
14-16-0658-43,0.534,-0.743
14-16-0664-43,1.262,0.907
14-16-0664-43,2.283,0.394
14-16-0671-43,-0.991,-0.014
14-16-0658-43,1.132,1.027
14-16-0658-43,0.488,-0.146
14-16-0658-43,1.007,0.433
14-16-0671-43,0.305,-0.426
14-16-0658-43,1.132,0.249
14-16-0671-43,0.42,-0.012
14-16-0658-43,-0.911,0.261
15-01-0016-43,-0.209,-0.007
15-01-0016-43,-0.162,0.12
15-01-0016-43,-1.084,-0.154
15-01-0016-43,-0.162,0.254
15-01-0016-43,-0.467,0.177
15-01-0016-43,0.031,0.657
15-01-0017-43,1.132,1.179
15-01-0017-43,1.32,0.907
15-01-0017-43,0.488,-0.138
15-01-0012-43,0.948,-0.519
15-01-0017-43,-0.285,-0.014
15-01-0016-43,-0.209,-0.088
15-01-0017-43,0.948,-0.014
15-01-0016-43,0.075,0.0
15-01-0017-43,0.488,0.775
15-01-0016-43,-0.752,0.134
15-01-0017-43,1.32,0.893
15-01-0016-43,0.534,0.688
15-01-0012-43,1.542,0.893
15-01-0017-43,1.398,0.787
15-01-0017-43,1.454,1.35
15-01-0012-43,0.147,-0.43
15-01-0017-43,1.454,0.56
15-01-0017-43,1.132,1.218
15-01-0017-43,0.375,0.128
15-01-0017-43,1.007,-0.146
15-01-0016-43,-0.042,0.254
15-01-0017-43,0.191,0.12
15-01-0017-43,1.542,1.836
15-01-0017-43,1.398,0.947
15-01-0017-43,1.595,0.633
15-01-0016-43,0.766,-0.279
15-01-0017-43,2.238,1.041
15-01-0017-43,1.454,2.219
15-01-0012-43,1.454,0.394
15-01-0012-43,-0.087,0.394
15-01-0016-43,-0.752,-0.138
15-01-0016-43,-0.335,0.12
15-01-0012-43,1.191,-0.299
15-01-0016-43,-0.545,0.122
15-01-0017-43,0.534,-0.226
15-01-0017-43,1.908,1.837
15-01-0016-43,-0.545,0.128
15-01-0017-43,1.908,2.733
15-01-0012-43,0.305,0.046
15-01-0017-43,1.398,1.062
15-01-0017-43,3.105,1.027
15-01-0012-43,0.488,0.265
15-01-0017-43,1.694,1.456
15-01-0017-43,1.262,0.12
15-01-0016-43,-0.467,0.261
15-01-0016-43,-0.911,-0.581
15-01-0016-43,-0.162,0.433
15-01-0012-43,1.595,-0.369
15-01-0016-43,-0.412,0.249
15-01-0017-43,-0.209,0.688
15-01-0012-43,0.534,0.249
15-01-0016-43,-0.042,0.79
15-01-0017-43,0.601,0.265
15-01-0017-43,3.52,2.219
15-01-0012-43,1.542,0.921
15-01-0016-43,0.375,0.385
15-01-0016-43,-0.087,0.396
15-01-0012-43,3.068,0.526
15-01-0017-43,0.075,-0.138
15-01-0012-43,1.007,0.515
15-01-0012-43,-0.285,-0.754
09-02-0163-43,2.038,1.98
09-02-0164-43,0.885,1.655
09-02-0163-43,1.191,0.265
09-02-0008-43,-0.412,-0.154
09-02-0163-43,2.735,0.657
09-02-0164-43,-0.087,-0.286
09-02-0008-43,0.83,-0.279
09-02-0164-43,0.42,-0.147
09-02-0163-43,-0.042,0.893
09-02-0164-43,0.488,0.254
09-02-0164-43,0.262,0.0
09-02-0163-43,3.068,1.057
09-02-0164-43,1.398,-0.581
09-02-0164-43,2.238,-0.299
09-02-0163-43,1.454,0.633
09-02-0163-43,0.766,-0.45
09-02-0164-43,0.375,-0.288
09-02-0163-43,0.948,0.394
09-02-0163-43,0.42,0.787
09-02-0008-43,-0.209,-0.154
09-02-0163-43,2.509,0.656
09-02-0008-43,0.715,0.394
09-02-0164-43,1.454,1.062
09-02-0163-43,1.908,1.179
09-02-0164-43,-0.684,-0.146
09-02-0008-43,-0.335,0.505
09-02-0164-43,2.775,1.081
09-02-0164-43,0.147,-0.088
09-02-0163-43,-0.335,-0.59
09-02-0008-43,0.262,0.046
09-02-0164-43,-0.285,-0.912
09-02-0164-43,1.32,-0.146
09-02-0163-43,2.466,1.837
09-02-0163-43,-0.467,0.249
09-02-0163-43,-0.605,-0.581
09-02-0008-43,3.554,1.35
09-02-0008-43,0.534,0.396
09-02-0008-43,-0.911,-0.226
09-02-0008-43,-0.911,-0.154
09-02-0164-43,0.075,0.254
09-02-0008-43,1.132,0.505
09-02-0008-43,-0.412,0.261
09-02-0164-43,2.238,0.515
09-02-0163-43,0.601,-0.519
09-02-0164-43,0.83,0.385
09-02-0008-43,-0.285,0.12
09-02-0163-43,-0.605,-0.299
09-02-0163-43,-0.209,-0.138
09-02-0163-43,2.085,0.385
09-02-0163-43,0.601,0.265
09-02-0163-43,1.262,0.254
09-02-0163-43,1.542,1.503
09-02-0163-43,1.595,0.893
09-02-0163-43,0.715,0.254
09-02-0008-43,0.649,1.342
09-02-0163-43,0.885,0.688
09-02-0164-43,1.191,0.645
09-02-0164-43,1.007,0.656
09-02-0008-43,0.649,0.254
09-02-0163-43,1.908,0.046
09-02-0163-43,-0.991,0.56
09-02-0164-43,-0.335,0.378
09-02-0163-43,1.398,0.79
09-02-0164-43,1.32,1.027
09-02-0163-43,0.305,0.816
09-02-0164-43,-0.087,0.0
09-02-0163-43,1.859,0.907
09-02-0164-43,-0.042,0.645
09-02-0163-43,0.715,0.261
09-02-0164-43,0.305,-0.226
09-02-0008-43,-0.605,-0.226
09-02-0163-43,0.885,1.204
09-02-0164-43,1.454,0.526
09-02-0164-43,0.075,1.081
09-02-0164-43,0.534,-0.007
09-02-0164-43,-0.042,-0.226
09-02-0163-43,-0.285,0.265
09-02-0163-43,1.859,0.249
09-02-0163-43,0.715,0.305
09-02-0008-43,-0.087,0.0
09-02-0163-43,1.191,0.79
09-02-0008-43,-0.412,-1.031
09-02-0008-43,0.766,0.893
09-02-0008-43,1.132,1.836
09-02-0164-43,1.262,0.261
09-02-0164-43,0.147,0.046
09-02-0164-43,0.075,-0.138
09-02-0163-43,2.466,0.893
09-02-0163-43,1.132,0.787
10-08-0005-43,0.147,1.179
10-08-0218-43,1.32,-0.59
10-08-0005-43,0.031,-0.138
10-08-0008-43,0.948,0.787
10-08-0005-43,0.147,0.79
10-08-0005-43,1.454,0.645
10-08-0008-43,0.649,-0.279
10-08-0008-43,0.031,0.688
10-08-0005-43,0.305,0.254
10-08-0218-43,-1.084,-0.918
10-08-0008-43,-0.467,-0.007
10-08-0218-43,1.694,0.657
10-08-0218-43,0.488,0.925
10-08-0218-43,0.649,0.249
10-08-0005-43,1.398,0.261
10-08-0005-43,0.031,0.046
10-08-0218-43,-0.545,-0.59
10-08-0008-43,-1.276,-0.783
10-08-0008-43,-0.991,-1.117
10-08-0218-43,1.262,0.433
10-08-0005-43,1.262,0.122
10-08-0218-43,1.068,0.249
10-08-0008-43,-0.412,-1.685
10-08-0218-43,1.595,0.763
10-08-0218-43,-0.545,0.0
10-08-0005-43,-0.042,-0.369
10-08-0218-43,0.649,1.041
10-08-0218-43,0.147,0.046
10-08-0218-43,1.191,0.526
10-08-0005-43,-0.752,-0.147
10-08-0005-43,0.42,-0.369
10-08-0218-43,0.83,0.775
10-08-0218-43,-0.285,-0.014
10-08-0218-43,1.859,0.433
10-08-0005-43,-0.911,-0.012
10-08-0008-43,0.375,-0.012
10-08-0008-43,-0.684,-2.525
10-08-0218-43,2.085,0.688
10-08-0218-43,-0.412,-1.32
10-08-0005-43,1.694,1.35
10-08-0218-43,0.031,0.515
10-08-0008-43,-0.285,0.046
10-08-0008-43,0.42,0.249
10-08-0005-43,-1.276,-0.138
10-08-0008-43,0.488,-0.743
10-08-0218-43,0.305,0.249
10-08-0005-43,-0.162,0.505
10-08-0005-43,0.885,0.787
02-03-0090-43,0.262,-0.226
02-03-0747-43,1.068,-0.288
02-03-0090-43,1.191,-0.58
02-03-0069-43,-0.042,0.763
02-03-0071-43,0.948,0.893
02-03-0073-43,1.542,-0.519
02-03-0071-43,1.132,0.134
02-03-0069-43,1.068,1.218
02-03-0073-43,-0.752,-0.138
02-03-0071-43,0.031,-0.007
02-03-0071-43,-0.162,0.177
02-03-0071-43,-0.087,-0.45
02-03-0069-43,0.375,-0.146
02-03-0071-43,-0.832,0.526
02-03-0069-43,1.32,0.385
02-03-0069-43,0.031,-2.024
02-03-0069-43,1.007,0.633
02-03-0071-43,0.031,-0.088
02-03-0069-43,1.398,0.525
02-03-0069-43,1.859,1.179
02-03-0071-43,0.031,0.0
02-03-0090-43,-0.285,-0.154
02-03-0069-43,1.694,1.668
02-03-0071-43,0.885,0.893
02-03-0071-43,-0.162,-0.014
02-03-0071-43,-0.042,-0.611
02-03-0071-43,0.075,-0.286
02-03-0071-43,-0.467,-0.59
02-03-0747-43,-0.209,-0.58
02-03-0069-43,0.075,-1.685
02-03-0071-43,-0.209,-0.299
02-03-0071-43,0.031,0.12
02-03-0069-43,0.031,0.656
02-03-0090-43,1.542,1.35
02-03-0073-43,-0.684,-0.436
02-03-0090-43,-0.467,0.249
02-03-0073-43,0.715,-0.007
02-03-0747-43,1.007,0.645
02-03-0071-43,1.398,0.254
02-03-0071-43,-0.209,0.79
02-03-0071-43,0.885,-0.007
02-03-0073-43,0.147,0.249
02-03-0073-43,-0.412,-0.969
02-03-0073-43,-0.162,0.265
02-03-0069-43,1.454,-0.754
02-03-0069-43,0.147,-0.012
02-03-0747-43,0.147,0.249
02-03-0069-43,-0.412,-4.673
02-03-0090-43,0.075,-0.58
02-03-0069-43,-0.605,-0.519
02-03-0071-43,0.031,-0.138
02-03-0069-43,1.454,0.378
02-03-0069-43,-0.335,-1.117
02-03-0069-43,1.595,1.165
02-03-0071-43,0.534,0.56
02-03-0071-43,1.454,-0.43
02-03-0071-43,1.262,0.0
02-03-0071-43,0.715,-0.014
02-03-0747-43,0.075,-0.519
02-03-0069-43,1.694,1.655
02-03-0071-43,0.305,-1.117
02-03-0071-43,1.132,-0.288
02-03-0071-43,1.32,-1.031
02-03-0069-43,1.262,0.046
02-03-0090-43,-0.335,0.122
02-03-0069-43,0.534,0.261
02-03-0090-43,0.305,-1.466
02-03-0071-43,0.948,1.655
02-03-0069-43,0.885,-0.299
02-03-0069-43,1.068,0.265
02-03-0073-43,1.068,0.254
02-03-0069-43,-0.684,-0.014
02-03-0090-43,0.031,0.261
02-03-0073-43,0.147,-0.226
02-03-0069-43,-0.412,0.177
02-03-0069-43,1.454,-0.138
02-03-0071-43,0.766,-0.519
17-04-0451-43,1.746,0.633
17-04-0451-43,1.007,-0.58
17-04-0451-43,1.746,0.763
17-04-0451-43,1.694,1.179
17-04-1055-43,1.191,0.305
17-04-0451-43,0.075,0.305
17-04-0451-43,1.595,0.128
17-04-2108-43,-0.162,-0.677
17-04-1055-43,-0.605,0.526
17-04-1055-43,0.262,-0.226
17-04-0451-43,1.262,1.218
17-04-0451-43,1.068,0.656
17-04-0451-43,1.859,0.505
17-04-1055-43,1.746,1.062
17-04-0451-43,-0.467,-0.226
17-04-1055-43,-0.752,0.12
17-04-2108-43,0.488,-1.809
17-04-2108-43,-1.276,-1.117
17-04-2108-43,-0.162,-0.611
17-04-2108-43,-0.162,-1.56
17-04-2108-43,-0.467,-3.42
17-04-1055-43,0.42,0.305
17-04-2108-43,-0.605,-0.969
17-04-1055-43,-0.467,-0.138
17-04-1055-43,1.132,0.515
17-04-1055-43,0.488,0.261
17-04-1055-43,0.42,0.515
17-04-1055-43,-0.335,-0.299
17-04-2108-43,0.075,-1.325
17-04-0451-43,1.262,-0.288
17-04-0451-43,1.694,0.515
17-04-1055-43,-0.162,0.526
17-04-0451-43,0.147,-0.279
17-04-1055-43,0.262,0.515
17-04-0451-43,1.595,0.122
17-04-1055-43,0.305,0.12
17-04-1055-43,1.262,0.925
17-04-0451-43,0.375,1.062
17-04-1055-43,0.649,0.656
17-04-0451-43,0.075,-0.146
17-04-1055-43,2.238,-0.286
04-13-3125-43,-0.087,0.525
04-13-3125-43,0.488,-0.226
04-13-0504-43,1.191,0.394
04-13-3125-43,2.085,0.396
04-13-2726-43,0.305,-0.58
04-13-0504-43,0.83,0.79
04-13-0504-43,2.038,1.081
04-13-0504-43,2.238,0.657
04-13-3125-43,0.262,-0.286
04-13-3125-43,-0.209,-0.45
04-13-3125-43,0.885,
04-13-0504-43,1.262,-0.147
04-13-0504-43,0.83,0.505
04-13-2726-43,0.031,-0.912
04-13-0504-43,1.398,0.122
04-13-0504-43,0.601,0.265
04-13-3125-43,0.534,0.0
04-13-0504-43,3.52,1.836
04-13-0504-43,1.068,0.645
04-13-3125-43,1.132,1.165
04-13-0504-43,1.191,0.261
04-13-2726-43,-0.991,-0.226
04-13-0504-43,2.238,1.081
04-13-0504-43,2.038,0.56
04-13-3125-43,0.766,0.775
04-13-2726-43,0.147,-0.743
04-13-0504-43,0.488,0.0
04-13-3125-43,1.068,1.179
04-13-2726-43,1.262,-0.45
04-13-2726-43,-0.467,0.385
04-13-0504-43,1.398,0.645
04-13-0504-43,0.305,0.526
04-13-3125-43,0.601,-1.031
04-13-3125-43,-0.285,0.526
04-13-0504-43,0.42,-0.154
04-13-2726-43,1.191,-0.436
04-13-0504-43,0.83,0.656
04-13-3125-43,-0.335,0.657
04-13-3125-43,3.105,1.027
04-13-0504-43,1.32,0.305
04-13-3125-43,0.305,-1.031
04-13-3125-43,0.147,-0.226
