Cod_Estab,measure_L,measure_M
03-14-0985-43,1.007,1.041
03-14-0196-43,1.746,0.505
03-14-0196-43,2.085,1.98
03-14-0985-43,1.262,-0.088
03-14-0196-43,1.859,1.342
03-14-0196-43,0.262,0.763
03-14-0196-43,4.291,1.964
03-14-0196-43,1.32,1.664
03-14-0196-43,0.42,0.261
03-14-0196-43,0.488,0.787
03-14-0196-43,1.32,1.342
03-14-0196-43,-0.209,-0.369
03-14-0196-43,1.132,1.629
03-14-0196-43,1.746,1.322
03-14-0196-43,1.007,1.218
03-14-0196-43,-0.042,-1.561
03-14-0985-43,-0.412,0.134
03-14-0196-43,1.191,1.664
03-14-0196-43,0.191,0.433
01-14-1896-43,0.766,0.261
01-14-1904-43,-0.285,-0.928
01-14-8760-43,-0.752,-0.741
01-14-1904-43,0.534,0.12
01-14-8760-43,1.694,0.12
01-14-1904-43,0.375,-0.426
01-14-1904-43,0.885,0.265
01-14-1904-43,0.031,0.261
01-14-8760-43,3.52,0.79
01-14-1904-43,0.715,0.134
01-14-1904-43,0.305,-0.088
01-14-8760-43,1.398,-0.299
01-14-8760-43,1.191,0.816
01-14-1904-43,0.83,-0.226
01-14-8760-43,1.068,0.134
01-14-1896-43,1.007,1.456
01-14-1896-43,0.075,-0.743
01-14-8760-43,0.715,0.525
01-14-1896-43,0.031,0.0
01-14-1896-43,1.191,0.816
01-14-8760-43,0.649,0.893
01-14-1896-43,-0.087,-0.226
01-14-8760-43,-1.084,0.394
01-14-1904-43,-0.832,-0.581
01-14-1904-43,0.42,-0.519
01-14-1896-43,-0.285,-0.007
01-14-1904-43,0.488,-0.007
01-14-8760-43,0.534,-0.226
01-14-1896-43,0.601,-1.685
01-14-1896-43,-1.084,-0.611
01-14-1904-43,0.305,-0.783
01-14-1904-43,0.191,-0.014
01-14-1904-43,1.068,-1.031
01-14-1904-43,-0.209,-2.191
01-14-8760-43,-0.162,0.134
01-14-8760-43,0.488,0.633
01-14-8760-43,0.885,0.656
01-14-1904-43,-0.209,-0.299
01-14-8760-43,1.542,1.204
01-14-8760-43,1.694,-0.007
01-14-8760-43,2.509,1.98
01-14-8760-43,0.375,0.645
01-14-8760-43,2.283,1.826
01-14-1896-43,-0.545,-0.426
01-14-8760-43,1.595,0.56
01-14-1896-43,1.068,0.79
01-14-1904-43,0.147,0.775
01-14-8760-43,1.542,1.057
01-14-1896-43,-0.832,1.027
01-14-8760-43,2.466,0.893
01-14-1896-43,-0.209,-0.288
01-14-1904-43,1.398,0.305
01-14-1904-43,-0.042,-4.465
01-14-1904-43,0.715,0.657
01-14-8760-43,1.908,-0.426
01-14-8760-43,2.038,0.56
01-14-8760-43,0.649,0.433
