,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace
15681,16-16-0021-43,-0.162,-1.466,C556CXW,9,1,1,1,1,1,1,-0.2510436150875787,-2.235996919020138,2.0559612555342928
15682,16-16-0021-43,-2.518,-2.191,C568HTQ,3,0,0,0,0,0,0,-3.9020235974723656,-3.341793485384121,5.42013126113117
15683,16-16-0013-43,-0.832,-1.109,C617BYZ,3,0,0,0,0,0,0,-0.5219572891573637,-0.9134777697945798,1.3127528769664703
15684,16-16-0021-43,-0.752,-0.969,C617DXD,9,1,1,1,1,1,1,-1.1653382626287605,-1.4779543073195862,2.166856322533904
15685,16-16-0021-43,-0.209,-0.288,C617HWV,3,0,0,0,0,0,0,-0.32387725650187627,-0.43926815325907204,0.837439735674424
15686,16-16-0013-43,-4.558,-4.614,C618YWM,5,1,1,0,0,0,0,-2.8594727451673845,-3.800528791552923,5.0069449063530165
15687,16-16-0021-43,-0.991,-2.176,C684FGS,3,0,0,0,0,0,0,-1.5357050774801884,-3.3189149357352115,3.7301419038619086
15688,16-16-0013-43,-4.471,-4.579,C714WVC,3,0,0,0,0,0,0,-2.8048930767098237,-3.7716994660860066,4.947959559270373
15689,16-16-0013-43,-0.832,-4.465,C733KDH,4,1,0,0,0,0,0,-0.5219572891573637,-3.677798234565193,3.266747765746899
15690,16-16-0021-43,0.147,-0.226,C769XFY,9,1,1,1,1,1,1,0.22779883591280292,-0.34470348137691076,0.380366960225127
15691,16-16-0021-43,0.305,-0.581,C816HTH,9,1,1,1,1,1,1,0.47264384322044145,-0.8861624897344474,0.5899127909474501
15692,16-16-0028-43,-0.684,-2.632,C818KLG,6,1,1,1,0,0,0,-0.6994090395085785,-2.301324410796164,2.4192904738061802
15693,16-16-0021-43,-1.496,-0.754,C818PKE,3,0,0,0,0,0,0,-2.318279309697641,-1.150028429018543,2.7505915718187253
15694,16-16-0028-43,-0.042,-2.072,C818YLI,9,1,1,1,1,1,1,-0.042946169092632006,-1.8116809191374055,1.608830222697681
15695,16-16-0013-43,-1.165,-2.024,C835ZFN,4,1,0,0,0,0,0,-0.7308656753225105,-1.667158707001109,1.993273301370674
15696,16-16-0013-43,-2.078,-1.842,C916ANX,5,1,1,0,0,0,0,-1.3036385178713963,-1.5172462145731436,2.2924571043072923
15697,16-16-0021-43,0.305,-0.288,C916NRJ,9,1,1,1,1,1,1,0.47264384322044145,-0.43926815325907204,0.27401987606058426
15698,16-16-0021-43,-0.545,-1.109,C916SMF,9,1,1,1,1,1,1,-0.8445603100168545,-1.6914874373760795,2.090892366210747
15699,16-16-0021-43,-0.684,-1.685,C916TMF,9,1,1,1,1,1,1,-1.059961930369777,-2.570023743894224,2.864261382396175
15700,16-16-0013-43,-3.245,-3.376,C940USX,3,0,0,0,0,0,0,-2.03575889821592,-2.7807943650374227,3.70347805558733
15701,16-16-0013-43,-0.991,-3.264,D074VWP,9,1,1,1,1,1,1,-0.6217063384073888,-2.68854052354329,2.638036011347926
15702,16-16-0013-43,-1.755,-4.579,D281XGB,7,1,1,1,1,0,0,-1.101003656816314,-3.7716994660860066,3.7427119668480455
15703,16-16-0021-43,-1.276,-1.32,D363KED,4,1,0,0,0,0,0,-1.977355881800929,-2.0133123691040806,3.119662276190769
15704,16-16-0013-43,-4.471,-4.673,D677WPM,4,1,0,0,0,0,0,-2.8048930767098237,-3.849126797340011,5.0026900478119
15705,16-16-0028-43,-0.545,-4.579,D760UDD,7,1,1,1,1,0,0,-0.5572776703686773,-4.00370990768831,3.522106455534108
15706,16-16-0028-43,-0.335,-2.024,D867RRH,9,1,1,1,1,1,1,-0.3425468249055172,-1.769711476995226,1.7910863636480507
15707,16-16-0013-43,-0.752,-3.226,D896FUQ,5,1,1,0,0,0,0,-0.471769088276848,-2.6572401130363525,2.509852682168776
15708,16-16-0013-43,-4.558,-4.579,E160BII,4,1,0,0,0,0,0,-2.8594727451673845,-3.7716994660860066,4.986566532959895
15709,16-16-0028-43,-0.911,-4.499,E164NWT,3,0,0,0,0,0,0,-0.931522858175899,-3.9337608374513446,3.7373847139585483
15710,16-16-0028-43,-1.579,-3.226,E232SUU,9,1,1,1,1,1,1,-1.6145714523158556,-2.8206962573056322,3.433755924180894
15711,16-16-0028-43,-0.911,-2.632,E453AVQ,9,1,1,1,1,1,1,-0.931522858175899,-2.301324410796164,2.58347637569072
15712,16-16-0028-43,-0.209,-4.673,E873CQC,9,1,1,1,1,1,1,-0.21370831762762116,-4.0859000652167445,3.33717954185121
15713,22-03-0191-43,0.305,0.763,C020EAJ,8,1,1,1,1,1,0,0.46082141576179003,0.9325478766096519,-0.6873030340732041
15714,22-03-0191-43,-0.042,-0.299,C022WKU,5,1,1,0,0,0,0,-0.06345737528523011,-0.3654414352638085,0.6010461674885423
15715,22-03-0191-43,-0.209,-0.146,C023HIR,3,0,0,0,0,0,0,-0.31577598653840694,-0.17844297507864895,0.6473417190579003
15716,22-03-0179-43,-0.042,-1.809,C120JYP,9,1,1,1,1,1,1,-0.04506899140435286,-1.8427081284483569,1.6322637782093148
15717,22-03-1478-43,-0.991,-0.754,C120RVB,3,0,0,0,0,0,0,-0.5818648801722771,-0.8421802174983838,1.3047309843454578
15718,22-03-0191-43,0.375,0.656,C120UTB,9,1,1,1,1,1,1,0.5665837079038403,0.8017711756958474,-0.6696729136709573
15719,22-03-0191-43,-0.545,-0.436,C125WBW,5,1,1,0,0,0,0,-0.8234349888202479,-0.532884500919801,1.2569762109700457
15720,22-03-0191-43,-0.911,0.378,C162HUS,7,1,1,1,1,0,0,-1.3764206877343959,0.46199619575157064,0.944887097571745
15721,22-03-0191-43,0.191,0.505,C172UWF,9,1,1,1,1,1,1,0.2885799685590226,0.6172171398268338,-0.3425723835503892
15722,22-03-0191-43,0.715,0.645,C286PRQ,9,1,1,1,1,1,1,1.0802862697366553,0.7883268419570452,-1.0235375488896739
