,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
29,21-02-0129-43,-0.285,-0.581,D292TDX,3,0,0,0,0,0,0,-0.44501472703696876,-0.7999992390153058,1.1883520453566405,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
30,09-13-0375-43,-0.752,-0.299,C718TVT,3,0,0,0,0,0,0,-1.5743383041554972,-0.5642968384826003,1.8013363091311416,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
31,16-01-0065-43,1.068,-0.014,C814CEI,3,0,0,0,0,0,0,1.7309490612435954,-0.020374344588901486,-0.8819565283236648,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
32,08-07-0373-43,0.305,-1.466,E552JCE,3,0,0,0,0,0,0,0.7356307785468769,-2.2288685411307356,1.3997444310486562,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
33,01-09-7188-43,-0.087,-0.014,C225VMB,3,0,0,0,0,0,0,-0.08785172187480268,-0.021233581829988277,0.37948033912532025,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
34,16-01-0082-43,0.147,-0.436,C931XRS,3,0,0,0,0,0,0,0.14114758028498675,-0.654204723695356,0.6769375237356164,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
35,09-13-3878-43,0.601,0.657,D188BDL,3,0,0,0,0,0,0,0.8926628501821052,1.1352088503498758,-1.1337109852724425,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,0
36,09-13-0373-43,-0.042,-0.138,D297TCR,3,0,0,0,0,0,0,-0.04860657302497565,-0.22969279357404793,0.5025183149511651,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
37,05-08-0418-43,-0.684,-1.41,C774LLA,3,0,0,0,0,0,0,-0.943084875266926,-1.6122719875237594,2.1190521480644184,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
38,21-05-0204-43,-0.087,-0.754,D549KTI,3,0,0,0,0,0,0,-0.08430987695891987,-0.5744073764437861,0.7757152064042775,0,0,0.9,0.87,0.88,0,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
